team	ranking	source	year
ARI	17	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
ATL	19	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
BAL	7	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
BUF	16	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
CAR	8	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
CHI	12	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
CIN	24	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
CLE	29	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
DAL	25	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
DEN	11	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
DET	14	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
GB	22	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
HOU	10	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
IND	31	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
JAC	1	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
KC	21	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
LAC	26	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
LAR	5	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
MIA	30	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
MIN	3	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
