team	ranking	source	year
ARI	12	http://www.nfl.com/photoessays/0ap3000000943194	2018
ATL	4	http://www.nfl.com/photoessays/0ap3000000943194	2018
BAL	28	http://www.nfl.com/photoessays/0ap3000000943194	2018
BUF	27	http://www.nfl.com/photoessays/0ap3000000943194	2018
CAR	6	http://www.nfl.com/photoessays/0ap3000000943194	2018
CHI	26	http://www.nfl.com/photoessays/0ap3000000943194	2018
CIN	16	http://www.nfl.com/photoessays/0ap3000000943194	2018
CLE	24	http://www.nfl.com/photoessays/0ap3000000943194	2018
DAL	20	http://www.nfl.com/photoessays/0ap3000000943194	2018
DEN	30	http://www.nfl.com/photoessays/0ap3000000943194	2018
DET	14	http://www.nfl.com/photoessays/0ap3000000943194	2018
GB	7	http://www.nfl.com/photoessays/0ap3000000943194	2018
HOU	10	http://www.nfl.com/photoessays/0ap3000000943194	2018
IND	17	http://www.nfl.com/photoessays/0ap3000000943194	2018
JAC	29	http://www.nfl.com/photoessays/0ap3000000943194	2018
KC	19	http://www.nfl.com/photoessays/0ap3000000943194	2018
LAC	5	http://www.nfl.com/photoessays/0ap3000000943194	2018
LAR	11	http://www.nfl.com/photoessays/0ap3000000943194	2018
MIA	32	http://www.nfl.com/photoessays/0ap3000000943194	2018
MIN	8	http://www.nfl.com/photoessays/0ap3000000943194	2018
NE	3	http://www.nfl.com/photoessays/0ap3000000943194	2018
NO	2	http://www.nfl.com/photoessays/0ap3000000943194	2018
NYG	9	http://www.nfl.com/photoessays/0ap3000000943194	2018
NYJ	31	http://www.nfl.com/photoessays/0ap3000000943194	2018
OAK	22	http://www.nfl.com/photoessays/0ap3000000943194	2018
PHI	15	http://www.nfl.com/photoessays/0ap3000000943194	2018
PIT	1	http://www.nfl.com/photoessays/0ap3000000943194	2018
SEA	13	http://www.nfl.com/photoessays/0ap3000000943194	2018
SF	25	http://www.nfl.com/photoessays/0ap3000000943194	2018
TB	23	http://www.nfl.com/photoessays/0ap3000000943194	2018
TEN	21	http://www.nfl.com/photoessays/0ap3000000943194	2018
WAS	18	http://www.nfl.com/photoessays/0ap3000000943194	2018
