team,ranking,source
ARI,9,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
ATL,22,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
BAL,8,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
BUF,24,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
CAR,13,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
CHI,27,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
CIN,16,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
CLE,31,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
DAL,10,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
DEN,3,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
DET,23,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
GB,25,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
HOU,2,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
IND,28,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
JAC,12,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
KC,7,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
LAC,26,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
LAR,20,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
MIA,17,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
MIN,6,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
NE,4,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
NO,30,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
NYG,5,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
NYJ,29,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
OAK,14,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
PHI,11,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
PIT,15,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
SEA,1,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
SF,32,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
TB,21,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
TEN,19,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
WAS,18,http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft
