1,Johnny Hekker,STL,P,96,4601,4192,68,47.9,43.7,0,8,17,41,6,25,40,289,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
2,Shane Lechler,HOU,P,95,4497,3685,64,47.3,38.8,0,2,8,24,10,15,60,612,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
3,Matt Darr,MIA,P,92,4380,3654,70,47.6,39.7,0,9,8,30,10,15,50,526,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
4,Brett Kern,TEN,P,88,4175,3550,61,47.4,40.3,0,11,6,34,1,23,47,605,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
5,Pat McAfee,IND,P,85,4052,3546,63,47.7,41.7,0,7,13,28,6,23,36,386,3,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
6,Donnie Jones,PHI,P,86,4038,3663,64,47.0,41.6,2,1,12,29,8,23,42,215,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
7,Bradley Pinion,SF,P,91,3969,3587,62,43.6,39.4,0,13,8,31,5,22,43,282,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
8,Colton Schmidt,BUF,P,82,3797,3384,65,46.3,41.3,0,9,10,22,3,20,40,353,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
9,Bryan Anger,JAC,P,80,3700,3158,63,46.3,39.5,0,3,6,26,4,22,45,462,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
10,Marquette King,OAK,P,83,3697,3416,70,44.5,40.7,1,9,21,40,4,19,30,201,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,REG,PUNTING,1
