week,team1,team2,home
1,ARI,DET,FALSE
2,ARI,IND,FALSE
3,ARI,DAL,TRUE
4,ARI,SF,TRUE
5,ARI,PHI,FALSE
6,ARI,TB,TRUE
7,ARI,LAR,FALSE
8,ARI,BYE,TRUE
9,ARI,SF,FALSE
10,ARI,SEA,TRUE
11,ARI,HOU,FALSE
12,ARI,JAC,TRUE
13,ARI,LAR,TRUE
14,ARI,TEN,TRUE
15,ARI,WAS,FALSE
16,ARI,NYG,TRUE
17,ARI,SEA,FALSE
1,ATL,CHI,FALSE
2,ATL,GB,TRUE
3,ATL,DET,FALSE
4,ATL,BUF,TRUE
5,ATL,BYE,TRUE
6,ATL,MIA,TRUE
7,ATL,NE,FALSE
8,ATL,NYJ,FALSE
9,ATL,CAR,FALSE
10,ATL,DAL,TRUE
11,ATL,SEA,FALSE
12,ATL,TB,TRUE
13,ATL,MIN,TRUE
14,ATL,NO,TRUE
15,ATL,TB,FALSE
16,ATL,NO,FALSE
17,ATL,CAR,TRUE
1,BAL,CIN,FALSE
2,BAL,CLE,TRUE
3,BAL,JAC,FALSE
4,BAL,PIT,TRUE
5,BAL,OAK,FALSE
6,BAL,CHI,TRUE
7,BAL,MIN,FALSE
8,BAL,MIA,TRUE
9,BAL,TEN,FALSE
10,BAL,BYE,TRUE
11,BAL,GB,FALSE
12,BAL,HOU,TRUE
13,BAL,DET,TRUE
14,BAL,PIT,FALSE
15,BAL,CLE,FALSE
16,BAL,IND,TRUE
17,BAL,CIN,TRUE
1,BUF,NYJ,TRUE
2,BUF,CAR,FALSE
3,BUF,DEN,TRUE
4,BUF,ATL,FALSE
5,BUF,CIN,FALSE
6,BUF,BYE,TRUE
7,BUF,TB,TRUE
8,BUF,OAK,TRUE
9,BUF,NYJ,FALSE
10,BUF,NO,TRUE
11,BUF,LAC,FALSE
12,BUF,KC,FALSE
13,BUF,NE,TRUE
14,BUF,IND,TRUE
15,BUF,MIA,TRUE
16,BUF,NE,FALSE
17,BUF,MIA,FALSE
1,CAR,SF,FALSE
2,CAR,BUF,TRUE
3,CAR,NO,TRUE
4,CAR,NE,FALSE
5,CAR,DET,FALSE
6,CAR,PHI,TRUE
7,CAR,CHI,FALSE
8,CAR,TB,FALSE
9,CAR,ATL,TRUE
10,CAR,MIA,TRUE
11,CAR,BYE,TRUE
12,CAR,NYJ,FALSE
13,CAR,NO,FALSE
14,CAR,MIN,TRUE
15,CAR,GB,TRUE
16,CAR,TB,TRUE
17,CAR,ATL,FALSE
1,CHI,ATL,TRUE
2,CHI,TB,FALSE
3,CHI,PIT,TRUE
4,CHI,GB,FALSE
5,CHI,MIN,TRUE
6,CHI,BAL,FALSE
7,CHI,CAR,TRUE
8,CHI,NO,FALSE
9,CHI,BYE,TRUE
10,CHI,GB,TRUE
11,CHI,DET,TRUE
12,CHI,PHI,FALSE
13,CHI,SF,TRUE
14,CHI,CIN,FALSE
15,CHI,DET,FALSE
16,CHI,CLE,TRUE
17,CHI,MIN,FALSE
1,CIN,BAL,TRUE
2,CIN,HOU,TRUE
3,CIN,GB,FALSE
4,CIN,CLE,FALSE
5,CIN,BUF,TRUE
6,CIN,BYE,TRUE
7,CIN,PIT,FALSE
8,CIN,IND,TRUE
9,CIN,JAC,FALSE
10,CIN,TEN,FALSE
11,CIN,DEN,FALSE
12,CIN,CLE,TRUE
13,CIN,PIT,TRUE
14,CIN,CHI,TRUE
15,CIN,MIN,FALSE
16,CIN,DET,TRUE
17,CIN,BAL,FALSE
1,CLE,PIT,TRUE
2,CLE,BAL,FALSE
3,CLE,IND,FALSE
4,CLE,CIN,TRUE
5,CLE,NYJ,TRUE
6,CLE,HOU,FALSE
7,CLE,TEN,TRUE
8,CLE,MIN,TRUE
9,CLE,BYE,TRUE
10,CLE,DET,FALSE
11,CLE,JAC,TRUE
12,CLE,CIN,FALSE
13,CLE,LAC,FALSE
14,CLE,GB,TRUE
15,CLE,BAL,TRUE
16,CLE,CHI,FALSE
17,CLE,PIT,FALSE
1,DAL,NYG,TRUE
2,DAL,DEN,FALSE
3,DAL,ARI,FALSE
4,DAL,LAR,TRUE
5,DAL,GB,TRUE
6,DAL,BYE,TRUE
7,DAL,SF,FALSE
8,DAL,WAS,FALSE
9,DAL,KC,TRUE
10,DAL,ATL,FALSE
11,DAL,PHI,TRUE
12,DAL,LAC,TRUE
13,DAL,WAS,TRUE
14,DAL,NYG,FALSE
15,DAL,OAK,FALSE
16,DAL,SEA,TRUE
17,DAL,PHI,FALSE
1,DEN,LAC,TRUE
2,DEN,DAL,TRUE
3,DEN,BUF,FALSE
4,DEN,OAK,TRUE
5,DEN,BYE,TRUE
6,DEN,NYG,TRUE
7,DEN,LAC,FALSE
8,DEN,KC,FALSE
9,DEN,PHI,FALSE
10,DEN,NE,TRUE
11,DEN,CIN,TRUE
12,DEN,OAK,FALSE
13,DEN,MIA,FALSE
14,DEN,NYJ,TRUE
15,DEN,IND,FALSE
16,DEN,WAS,FALSE
17,DEN,KC,TRUE
1,DET,ARI,TRUE
2,DET,NYG,FALSE
3,DET,ATL,TRUE
4,DET,MIN,FALSE
5,DET,CAR,TRUE
6,DET,NO,FALSE
7,DET,BYE,TRUE
8,DET,PIT,TRUE
9,DET,GB,FALSE
10,DET,CLE,TRUE
11,DET,CHI,FALSE
12,DET,MIN,TRUE
13,DET,BAL,FALSE
14,DET,TB,FALSE
15,DET,CHI,TRUE
16,DET,CIN,FALSE
17,DET,GB,TRUE
1,GB,SEA,TRUE
2,GB,ATL,FALSE
3,GB,CIN,TRUE
4,GB,CHI,TRUE
5,GB,DAL,FALSE
6,GB,MIN,FALSE
7,GB,NO,TRUE
8,GB,BYE,TRUE
9,GB,DET,TRUE
10,GB,CHI,FALSE
11,GB,BAL,TRUE
12,GB,PIT,FALSE
13,GB,TB,TRUE
14,GB,CLE,FALSE
15,GB,CAR,FALSE
16,GB,MIN,TRUE
17,GB,DET,FALSE
1,HOU,JAC,TRUE
2,HOU,CIN,FALSE
3,HOU,NE,FALSE
4,HOU,TEN,TRUE
5,HOU,KC,TRUE
6,HOU,CLE,TRUE
7,HOU,BYE,TRUE
8,HOU,SEA,FALSE
9,HOU,IND,TRUE
10,HOU,LAR,FALSE
11,HOU,ARI,TRUE
12,HOU,BAL,FALSE
13,HOU,TEN,FALSE
14,HOU,SF,TRUE
15,HOU,JAC,FALSE
16,HOU,PIT,TRUE
17,HOU,IND,FALSE
1,IND,LAR,FALSE
2,IND,ARI,TRUE
3,IND,CLE,TRUE
4,IND,SEA,FALSE
5,IND,SF,TRUE
6,IND,TEN,FALSE
7,IND,JAC,TRUE
8,IND,CIN,FALSE
9,IND,HOU,FALSE
10,IND,PIT,TRUE
11,IND,BYE,TRUE
12,IND,TEN,TRUE
13,IND,JAC,FALSE
14,IND,BUF,FALSE
15,IND,DEN,TRUE
16,IND,BAL,FALSE
17,IND,HOU,TRUE
1,JAC,HOU,FALSE
2,JAC,TEN,TRUE
3,JAC,BAL,TRUE
4,JAC,NYJ,FALSE
5,JAC,PIT,FALSE
6,JAC,LAR,TRUE
7,JAC,IND,FALSE
8,JAC,BYE,TRUE
9,JAC,CIN,TRUE
10,JAC,LAC,TRUE
11,JAC,CLE,FALSE
12,JAC,ARI,FALSE
13,JAC,IND,TRUE
14,JAC,SEA,TRUE
15,JAC,HOU,TRUE
16,JAC,SF,FALSE
17,JAC,TEN,FALSE
1,KC,NE,FALSE
2,KC,PHI,TRUE
3,KC,LAC,FALSE
4,KC,WAS,TRUE
5,KC,HOU,FALSE
6,KC,PIT,TRUE
7,KC,OAK,FALSE
8,KC,DEN,TRUE
9,KC,DAL,FALSE
10,KC,BYE,TRUE
11,KC,NYG,FALSE
12,KC,BUF,TRUE
13,KC,NYJ,FALSE
14,KC,OAK,TRUE
15,KC,LAC,TRUE
16,KC,MIA,TRUE
17,KC,DEN,FALSE
1,LAC,DEN,FALSE
2,LAC,MIA,TRUE
3,LAC,KC,TRUE
4,LAC,PHI,TRUE
5,LAC,NYG,FALSE
6,LAC,OAK,FALSE
7,LAC,DEN,TRUE
8,LAC,NE,FALSE
9,LAC,BYE,TRUE
10,LAC,JAC,FALSE
11,LAC,BUF,TRUE
12,LAC,DAL,FALSE
13,LAC,CLE,TRUE
14,LAC,WAS,TRUE
15,LAC,KC,FALSE
16,LAC,NYJ,FALSE
17,LAC,OAK,TRUE
1,LAR,IND,TRUE
2,LAR,WAS,TRUE
3,LAR,SF,FALSE
4,LAR,DAL,FALSE
5,LAR,SEA,TRUE
6,LAR,JAC,FALSE
7,LAR,ARI,TRUE
8,LAR,BYE,TRUE
9,LAR,NYG,FALSE
10,LAR,HOU,TRUE
11,LAR,MIN,FALSE
12,LAR,NO,TRUE
13,LAR,ARI,FALSE
14,LAR,PHI,TRUE
15,LAR,SEA,FALSE
16,LAR,TEN,FALSE
17,LAR,SF,TRUE
1,MIA,TB,TRUE
2,MIA,LAC,FALSE
3,MIA,NYJ,FALSE
4,MIA,NO,TRUE
5,MIA,TEN,TRUE
6,MIA,ATL,FALSE
7,MIA,NYJ,TRUE
8,MIA,BAL,FALSE
9,MIA,OAK,TRUE
10,MIA,CAR,FALSE
11,MIA,BYE,TRUE
12,MIA,NE,FALSE
13,MIA,DEN,TRUE
14,MIA,NE,TRUE
15,MIA,BUF,FALSE
16,MIA,KC,FALSE
17,MIA,BUF,TRUE
1,MIN,NO,TRUE
2,MIN,PIT,FALSE
3,MIN,TB,TRUE
4,MIN,DET,TRUE
5,MIN,CHI,FALSE
6,MIN,GB,TRUE
7,MIN,BAL,TRUE
8,MIN,CLE,FALSE
9,MIN,BYE,TRUE
10,MIN,WAS,FALSE
11,MIN,LAR,TRUE
12,MIN,DET,FALSE
13,MIN,ATL,FALSE
14,MIN,CAR,FALSE
15,MIN,CIN,TRUE
16,MIN,GB,FALSE
17,MIN,CHI,TRUE
1,NE,KC,TRUE
2,NE,NO,FALSE
3,NE,HOU,TRUE
4,NE,CAR,TRUE
5,NE,TB,FALSE
6,NE,NYJ,FALSE
7,NE,ATL,TRUE
8,NE,LAC,TRUE
9,NE,BYE,TRUE
10,NE,DEN,FALSE
11,NE,OAK,FALSE
12,NE,MIA,TRUE
13,NE,BUF,FALSE
14,NE,MIA,FALSE
15,NE,PIT,FALSE
16,NE,BUF,TRUE
17,NE,NYJ,TRUE
1,NO,MIN,FALSE
2,NO,NE,TRUE
3,NO,CAR,FALSE
4,NO,MIA,FALSE
5,NO,BYE,TRUE
6,NO,DET,TRUE
7,NO,GB,FALSE
8,NO,CHI,TRUE
9,NO,TB,TRUE
10,NO,BUF,FALSE
11,NO,WAS,TRUE
12,NO,LAR,FALSE
13,NO,CAR,TRUE
14,NO,ATL,FALSE
15,NO,NYJ,TRUE
16,NO,ATL,TRUE
17,NO,TB,FALSE
1,NYG,DAL,FALSE
2,NYG,DET,TRUE
3,NYG,PHI,FALSE
4,NYG,TB,FALSE
5,NYG,LAC,TRUE
6,NYG,DEN,FALSE
7,NYG,SEA,TRUE
8,NYG,BYE,TRUE
9,NYG,LAR,TRUE
10,NYG,SF,FALSE
11,NYG,KC,TRUE
12,NYG,WAS,FALSE
13,NYG,OAK,FALSE
14,NYG,DAL,TRUE
15,NYG,PHI,TRUE
16,NYG,ARI,FALSE
17,NYG,WAS,TRUE
1,NYJ,BUF,FALSE
2,NYJ,OAK,FALSE
3,NYJ,MIA,TRUE
4,NYJ,JAC,TRUE
5,NYJ,CLE,FALSE
6,NYJ,NE,TRUE
7,NYJ,MIA,FALSE
