team	ranking	source	year
ARI	13	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
ATL	4	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
BAL	27	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
BUF	24	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
CAR	19	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
CHI	29	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
CIN	9	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
CLE	28	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
DAL	10	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
DEN	26	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
DET	21	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
GB	3	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
HOU	22	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
IND	20	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
JAC	23	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
KC	17	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
LAC	12	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
LAR	32	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
MIA	11	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
MIN	25	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
NE	1	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
NO	6	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
NYG	8	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
NYJ	31	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
OAK	5	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
PHI	14	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
PIT	2	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
SEA	18	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
SF	30	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
TB	7	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
TEN	16	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
WAS	15	http://bleacherreport.com/articles/2706946-power-ranking-all-32-nfl-offenses-post-draft	2017
