week,time,away,home,year
1,8:20 PM,Falcons,Eagles,2018
1,1:00 PM,Bills,Ravens,2018
1,1:00 PM,Jaguars,Giants,2018
1,1:00 PM,Buccaneers,Saints,2018
1,1:00 PM,Texans,Patriots,2018
1,1:00 PM,49ers,Vikings,2018
1,1:00 PM,Titans,Dolphins,2018
1,1:00 PM,Bengals,Colts,2018
1,1:00 PM,Steelers,Browns,2018
1,4:05 PM,Chiefs,Chargers,2018
1,4:25 PM,Seahawks,Broncos,2018
1,4:25 PM,Cowboys,Panthers,2018
1,4:25 PM,Redskins,Cardinals,2018
1,8:20 PM,Bears,Packers,2018
1,7:10 PM,Jets,Lions,2018
1,10:20 PM,Rams,Raiders,2018
2,8:20 PM,Ravens,Bengals,2018
2,1:00 PM,Colts,Redskins,2018
2,1:00 PM,Panthers,Falcons,2018
2,1:00 PM,Texans,Titans,2018
2,1:00 PM,Eagles,Buccaneers,2018
2,1:00 PM,Chiefs,Steelers,2018
2,1:00 PM,Dolphins,Jets,2018
2,1:00 PM,Chargers,Bills,2018
2,1:00 PM,Vikings,Packers,2018
2,1:00 PM,Browns,Saints,2018
2,4:05 PM,Lions,49ers,2018
2,4:05 PM,Cardinals,Rams,2018
2,4:25 PM,Raiders,Broncos,2018
2,4:25 PM,Patriots,Jaguars,2018
2,8:20 PM,Giants,Cowboys,2018
2,8:15 PM,Seahawks,Bears,2018
3,8:20 PM,Jets,Browns,2018
3,1:00 PM,Saints,Falcons,2018
3,1:00 PM,Packers,Redskins,2018
3,1:00 PM,Colts,Eagles,2018
3,1:00 PM,Bills,Vikings,2018
3,1:00 PM,Raiders,Dolphins,2018
3,1:00 PM,Broncos,Ravens,2018
3,1:00 PM,Bengals,Panthers,2018
3,1:00 PM,Giants,Texans,2018
3,1:00 PM,Titans,Jaguars,2018
3,1:00 PM,49ers,Chiefs,2018
3,4:05 PM,Chargers,Rams,2018
3,4:25 PM,Cowboys,Seahawks,2018
3,4:25 PM,Bears,Cardinals,2018
3,8:20 PM,Patriots,Lions,2018
3,8:15 PM,Steelers,Buccaneers,2018
4,8:20 PM,Vikings,Rams,2018
4,1:00 PM,Jets,Jaguars,2018
4,1:00 PM,Dolphins,Patriots,2018
4,1:00 PM,Eagles,Titans,2018
4,1:00 PM,Texans,Colts,2018
4,1:00 PM,Bills,Packers,2018
4,1:00 PM,Lions,Cowboys,2018
4,1:00 PM,Buccaneers,Bears,2018
4,1:00 PM,Bengals,Falcons,2018
4,4:05 PM,Seahawks,Cardinals,2018
4,4:05 PM,Browns,Raiders,2018
4,4:25 PM,Saints,Giants,2018
4,4:25 PM,49ers,Chargers,2018
4,8:20 PM,Ravens,Steelers,2018
4,8:15 PM,Chiefs,Broncos,2018
5,8:20 PM,Colts,Patriots,2018
5,1:00 PM,Titans,Bills,2018
5,1:00 PM,Falcons,Steelers,2018
5,1:00 PM,Broncos,Jets,2018
5,1:00 PM,Jaguars,Chiefs,2018
5,1:00 PM,Packers,Lions,2018
5,1:00 PM,Ravens,Browns,2018
5,1:00 PM,Giants,Panthers,2018
5,1:00 PM,Dolphins,Bengals,2018
5,4:05 PM,Raiders,Chargers,2018
5,4:25 PM,Cardinals,49ers,2018
5,4:25 PM,Vikings,Eagles,2018
5,4:25 PM,Rams,Seahawks,2018
5,8:20 PM,Cowboys,Texans,2018
5,8:15 PM,Redskins,Saints,2018
6,8:20 PM,Eagles,Giants,2018
6,1:00 PM,Buccaneers,Falcons,2018
6,1:00 PM,Panthers,Redskins,2018
6,1:00 PM,Seahawks,Raiders,2018
6,1:00 PM,Colts,Jets,2018
6,1:00 PM,Cardinals,Vikings,2018
6,1:00 PM,Steelers,Bengals,2018
6,1:00 PM,Chargers,Browns,2018
6,1:00 PM,Bills,Texans,2018
6,1:00 PM,Bears,Dolphins,2018
6,4:05 PM,Rams,Broncos,2018
6,4:25 PM,Ravens,Titans,2018
6,4:25 PM,Jaguars,Cowboys,2018
6,8:20 PM,Chiefs,Patriots,2018
6,8:15 PM,49ers,Packers,2018
7,8:20 PM,Broncos,Cardinals,2018
7,9:30 AM,Titans,Chargers,2018
7,1:00 PM,Bengals,Chiefs,2018
7,1:00 PM,Browns,Buccaneers,2018
7,1:00 PM,Panthers,Eagles,2018
7,1:00 PM,Vikings,Jets,2018
7,1:00 PM,Lions,Dolphins,2018
7,1:00 PM,Patriots,Bears,2018
7,1:00 PM,Bills,Colts,2018
7,1:00 PM,Texans,Jaguars,2018
7,4:05 PM,Saints,Ravens,2018
7,4:25 PM,Cowboys,Redskins,2018
7,8:20 PM,Rams,49ers,2018
7,8:15 PM,Giants,Falcons,2018
8,8:20 PM,Dolphins,Texans,2018
8,9:30 AM,Eagles,Jaguars,2018
8,1:00 PM,Broncos,Chiefs,2018
8,1:00 PM,Browns,Steelers,2018
8,1:00 PM,Redskins,Giants,2018
8,1:00 PM,Seahawks,Lions,2018
8,1:00 PM,Buccaneers,Bengals,2018
8,1:00 PM,Jets,Bears,2018
8,1:00 PM,Ravens,Panthers,2018
8,4:05 PM,Colts,Raiders,2018
8,4:25 PM,49ers,Cardinals,2018
8,4:25 PM,Packers,Rams,2018
8,8:20 PM,Saints,Vikings,2018
8,8:15 PM,Patriots,Bills,2018
9,8:20 PM,Raiders,49ers,2018
9,1:00 PM,Bears,Bills,2018
9,1:00 PM,Buccaneers,Panthers,2018
9,1:00 PM,Chiefs,Browns,2018
9,1:00 PM,Jets,Dolphins,2018
9,1:00 PM,Steelers,Ravens,2018
9,1:00 PM,Lions,Vikings,2018
9,1:00 PM,Falcons,Redskins,2018
9,4:05 PM,Texans,Broncos,2018
9,4:05 PM,Chargers,Seahawks,2018
9,4:25 PM,Rams,Saints,2018
9,8:20 PM,Packers,Patriots,2018
9,8:15 PM,Titans,Cowboys,2018
10,8:20 PM,Panthers,Steelers,2018
10,1:00 PM,Saints,Bengals,2018
10,1:00 PM,Falcons,Browns,2018
10,1:00 PM,Dolphins,Packers,2018
10,1:00 PM,Jaguars,Colts,2018
10,1:00 PM,Lions,Bears,2018
10,1:00 PM,Cardinals,Chiefs,2018
10,1:00 PM,Patriots,Titans,2018
10,1:00 PM,Redskins,Buccaneers,2018
10,1:00 PM,Bills,Jets,2018
10,4:05 PM,Chargers,Raiders,2018
10,4:25 PM,Seahawks,Rams,2018
10,8:20 PM,Cowboys,Eagles,2018
10,8:15 PM,Giants,49ers,2018
11,8:20 PM,Packers,Seahawks,2018
11,1:00 PM,Bengals,Ravens,2018
11,1:00 PM,Vikings,Bears,2018
11,1:00 PM,Panthers,Lions,2018
11,1:00 PM,Titans,Colts,2018
11,1:00 PM,Cowboys,Falcons,2018
11,1:00 PM,Buccaneers,Giants,2018
11,1:00 PM,Eagles,Saints,2018
11,1:00 PM,Texans,Redskins,2018
11,4:05 PM,Broncos,Chargers,2018
11,4:05 PM,Raiders,Cardinals,2018
11,8:20 PM,Steelers,Jaguars,2018
11,8:15 PM,Chiefs,Rams,2018
12,12:30 PM,Bears,Lions,2018
12,4:30 PM,Redskins,Cowboys,2018
12,8:20 PM,Falcons,Saints,2018
12,1:00 PM,Browns,Bengals,2018
12,1:00 PM,Seahawks,Panthers,2018
12,1:00 PM,Jaguars,Bills,2018
12,1:00 PM,Raiders,Ravens,2018
12,1:00 PM,Dolphins,Colts,2018
12,1:00 PM,49ers,Buccaneers,2018
12,1:00 PM,Giants,Eagles,2018
12,1:00 PM,Patriots,Jets,2018
12,4:05 PM,Cardinals,Chargers,2018
12,4:25 PM,Steelers,Broncos,2018
12,8:20 PM,Packers,Vikings,2018
12,8:15 PM,Titans,Texans,2018
13,8:20 PM,Saints,Cowboys,2018
13,1:00 PM,Ravens,Falcons,2018
13,1:00 PM,Panthers,Buccaneers,2018
13,1:00 PM,Chargers,Steelers,2018
13,1:00 PM,Bears,Giants,2018
13,1:00 PM,Bills,Dolphins,2018
13,1:00 PM,Broncos,Bengals,2018
13,1:00 PM,Rams,Lions,2018
13,1:00 PM,Cardinals,Packers,2018
13,1:00 PM,Browns,Texans,2018
13,1:00 PM,Colts,Jaguars,2018
13,4:05 PM,Jets,Titans,2018
13,4:05 PM,Chiefs,Raiders,2018
13,4:25 PM,Vikings,Patriots,2018
13,8:20 PM,49ers,Seahawks,2018
13,8:15 PM,Redskins,Eagles,2018
14,8:20 PM,Jaguars,Titans,2018
14,1:00 PM,Jets,Bills,2018
14,1:00 PM,Giants,Redskins,2018
14,1:00 PM,Saints,Buccaneers,2018
14,1:00 PM,Patriots,Dolphins,2018
14,1:00 PM,Ravens,Chiefs,2018
14,1:00 PM,Colts,Texans,2018
14,1:00 PM,Rams,Bears,2018
14,1:00 PM,Panthers,Browns,2018
14,1:00 PM,Falcons,Packers,2018
14,4:05 PM,Broncos,49ers,2018
14,4:05 PM,Bengals,Chargers,2018
14,4:25 PM,Eagles,Cowboys,2018
14,4:25 PM,Lions,Cardinals,2018
14,8:20 PM,Steelers,Raiders,2018
14,8:15 PM,Vikings,Seahawks,2018
15,8:20 PM,Chargers,Chiefs,2018
