week,time,away,home,year
1,8:30 PM,Chiefs,Patriots,2017
1,1:00 PM,Jets,Bills,2017
1,1:00 PM,Eagles,Redskins,2017
1,1:00 PM,Raiders,Titans,2017
1,1:00 PM,Buccaneers,Dolphins,2017
1,1:00 PM,Jaguars,Texans,2017
1,1:00 PM,Cardinals,Lions,2017
1,1:00 PM,Falcons,Bears,2017
1,1:00 PM,Ravens,Bengals,2017
1,1:00 PM,Steelers,Browns,2017
1,4:05 PM,Colts,Rams,2017
1,4:25 PM,Seahawks,Packers,2017
1,4:25 PM,Panthers,49ers,2017
1,8:30 PM,Giants,Cowboys,2017
1,7:10 PM,Saints,Vikings,2017
1,10:20 PM,Chargers,Broncos,2017
2,8:25 PM,Texans,Bengals,2017
2,1:00 PM,Browns,Ravens,2017
2,1:00 PM,Bears,Buccaneers,2017
2,1:00 PM,Vikings,Steelers,2017
2,1:00 PM,Patriots,Saints,2017
2,1:00 PM,Eagles,Chiefs,2017
2,1:00 PM,Titans,Jaguars,2017
2,1:00 PM,Cardinals,Colts,2017
2,1:00 PM,Bills,Panthers,2017
2,4:05 PM,Jets,Raiders,2017
2,4:05 PM,Dolphins,Chargers,2017
2,4:25 PM,49ers,Seahawks,2017
2,4:25 PM,Redskins,Rams,2017
2,4:25 PM,Cowboys,Broncos,2017
2,8:30 PM,Packers,Falcons,2017
2,8:30 PM,Lions,Giants,2017
3,8:25 PM,Rams,49ers,2017
3,9:30 AM,Ravens,Jaguars,2017
3,1:00 PM,Browns,Colts,2017
3,1:00 PM,Giants,Eagles,2017
3,1:00 PM,Dolphins,Jets,2017
3,1:00 PM,Broncos,Bills,2017
3,1:00 PM,Saints,Panthers,2017
3,1:00 PM,Steelers,Bears,2017
3,1:00 PM,Falcons,Lions,2017
3,1:00 PM,Buccaneers,Vikings,2017
3,1:00 PM,Texans,Patriots,2017
3,4:05 PM,Seahawks,Titans,2017
3,4:25 PM,Bengals,Packers,2017
3,4:25 PM,Chiefs,Chargers,2017
3,8:30 PM,Raiders,Redskins,2017
3,8:30 PM,Cowboys,Cardinals,2017
4,8:25 PM,Bears,Packers,2017
4,9:30 AM,Saints,Dolphins,2017
4,1:00 PM,Titans,Texans,2017
4,1:00 PM,Jaguars,Jets,2017
4,1:00 PM,Panthers,Patriots,2017
4,1:00 PM,Lions,Vikings,2017
4,1:00 PM,Bills,Falcons,2017
4,1:00 PM,Steelers,Ravens,2017
4,1:00 PM,Bengals,Browns,2017
4,1:00 PM,Rams,Cowboys,2017
4,4:05 PM,Eagles,Chargers,2017
4,4:05 PM,Giants,Buccaneers,2017
4,4:05 PM,49ers,Cardinals,2017
4,4:25 PM,Raiders,Broncos,2017
4,8:30 PM,Colts,Seahawks,2017
4,8:30 PM,Redskins,Chiefs,2017
5,8:25 PM,Patriots,Buccaneers,2017
5,1:00 PM,Jets,Browns,2017
5,1:00 PM,Panthers,Lions,2017
5,1:00 PM,49ers,Colts,2017
5,1:00 PM,Titans,Dolphins,2017
5,1:00 PM,Bills,Bengals,2017
5,1:00 PM,Chargers,Giants,2017
5,1:00 PM,Jaguars,Steelers,2017
5,1:00 PM,Cardinals,Eagles,2017
5,4:05 PM,Seahawks,Rams,2017
5,4:05 PM,Ravens,Raiders,2017
5,4:25 PM,Packers,Cowboys,2017
5,8:30 PM,Chiefs,Texans,2017
5,8:30 PM,Vikings,Bears,2017
6,8:25 PM,Eagles,Panthers,2017
6,1:00 PM,Bears,Ravens,2017
6,1:00 PM,Browns,Texans,2017
6,1:00 PM,Packers,Vikings,2017
6,1:00 PM,Lions,Saints,2017
6,1:00 PM,Dolphins,Falcons,2017
6,1:00 PM,Patriots,Jets,2017
6,1:00 PM,49ers,Redskins,2017
6,4:05 PM,Buccaneers,Cardinals,2017
6,4:05 PM,Rams,Jaguars,2017
6,4:25 PM,Steelers,Chiefs,2017
6,4:25 PM,Chargers,Raiders,2017
6,8:30 PM,Giants,Broncos,2017
6,8:30 PM,Colts,Titans,2017
7,8:25 PM,Chiefs,Raiders,2017
7,1:00 PM,Buccaneers,Bills,2017
7,1:00 PM,Bengals,Steelers,2017
7,1:00 PM,Ravens,Vikings,2017
7,1:00 PM,Jets,Dolphins,2017
7,1:00 PM,Cardinals,Rams,2017
7,1:00 PM,Panthers,Bears,2017
7,1:00 PM,Titans,Browns,2017
7,1:00 PM,Saints,Packers,2017
7,1:00 PM,Jaguars,Colts,2017
7,4:05 PM,Cowboys,49ers,2017
7,4:25 PM,Seahawks,Giants,2017
7,4:25 PM,Broncos,Chargers,2017
7,8:30 PM,Falcons,Patriots,2017
7,8:30 PM,Redskins,Eagles,2017
8,8:25 PM,Dolphins,Ravens,2017
8,9:30 AM,Vikings,Browns,2017
8,1:00 PM,Falcons,Jets,2017
8,1:00 PM,Panthers,Buccaneers,2017
8,1:00 PM,49ers,Eagles,2017
8,1:00 PM,Bears,Saints,2017
8,1:00 PM,Chargers,Patriots,2017
8,1:00 PM,Raiders,Bills,2017
8,1:00 PM,Colts,Bengals,2017
8,4:05 PM,Texans,Seahawks,2017
8,4:25 PM,Cowboys,Redskins,2017
8,8:30 PM,Steelers,Lions,2017
8,8:30 PM,Broncos,Chiefs,2017
9,8:25 PM,Bills,Jets,2017
9,1:00 PM,Colts,Texans,2017
9,1:00 PM,Bengals,Jaguars,2017
9,1:00 PM,Buccaneers,Saints,2017
9,1:00 PM,Rams,Giants,2017
