away, away_score, home_score, home, year, week
Panthers,20,21,Broncos,2016,1
Buccaneers,31,24,Falcons,2016,1
Vikings,25,16,Titans,2016,1
Bengals,23,22,Jets,2016,1
Raiders,35,34,Saints,2016,1
Chargers,27,33,Chiefs,2016,1
Bills,07,13,Ravens,2016,1
Browns,10,29,Eagles,2016,1
Bears,14,23,Texans,2016,1
Dolphins,10,12,Seahawks,2016,1
Packers,27,23,Jaguars,2016,1
Giants,20,19,Cowboys,2016,1
Lions,39,35,Colts,2016,1
Patriots,23,21,Cardinals,2016,1
Steelers,38,16,Redskins,2016,1
Rams,00,28,49ers,2016,1
Jets,37,31,Bills,2016,2
49ers,27,46,Panthers,2016,2
Cowboys,27,23,Redskins,2016,2
Bengals,16,24,Steelers,2016,2
Saints,13,16,Giants,2016,2
Dolphins,24,31,Patriots,2016,2
Chiefs,12,19,Texans,2016,2
Titans,16,15,Lions,2016,2
Ravens,25,20,Browns,2016,2
Seahawks,03,09,Rams,2016,2
Buccaneers,07,40,Cardinals,2016,2
Jaguars,14,38,Chargers,2016,2
Falcons,35,28,Raiders,2016,2
Colts,20,34,Broncos,2016,2
Packers,14,17,Vikings,2016,2
Eagles,29,14,Bears,2016,2
Texans,00,27,Patriots,2016,3
Cardinals,18,33,Bills,2016,3
Raiders,17,10,Titans,2016,3
Redskins,29,27,Giants,2016,3
Browns,24,30,Dolphins,2016,3
Ravens,19,17,Jaguars,2016,3
Lions,27,34,Packers,2016,3
Broncos,29,17,Bengals,2016,3
Vikings,22,10,Panthers,2016,3
Rams,37,32,Buccaneers,2016,3
49ers,18,37,Seahawks,2016,3
Jets,03,24,Chiefs,2016,3
Chargers,22,26,Colts,2016,3
Steelers,03,34,Eagles,2016,3
Bears,17,31,Cowboys,2016,3
Falcons,45,32,Saints,2016,3
Dolphins,07,22,Bengals,2016,4
Colts,27,30,Jaguars,2016,4
Titans,20,27,Texans,2016,4
Browns,20,31,Redskins,2016,4
Seahawks,27,17,Jets,2016,4
Bills,16,00,Patriots,2016,4
Panthers,33,48,Falcons,2016,4
Raiders,28,27,Ravens,2016,4
Lions,14,17,Bears,2016,4
Broncos,27,07,Buccaneers,2016,4
Rams,17,13,Cardinals,2016,4
Saints,35,34,Chargers,2016,4
Cowboys,24,17,49ers,2016,4
Chiefs,14,43,Steelers,2016,4
Giants,10,24,Vikings,2016,4
Cardinals,33,21,49ers,2016,5
Patriots,33,13,Browns,2016,5
Eagles,23,24,Lions,2016,5
Titans,30,17,Dolphins,2016,5
Bears,23,29,Colts,2016,5
Redskins,16,10,Ravens,2016,5
Texans,13,31,Vikings,2016,5
Jets,13,31,Steelers,2016,5
Falcons,23,16,Broncos,2016,5
Bengals,14,28,Cowboys,2016,5
Bills,30,19,Rams,2016,5
Chargers,31,34,Raiders,2016,5
Giants,16,23,Packers,2016,5
Buccaneers,17,14,Panthers,2016,5
Broncos,13,21,Chargers,2016,6
49ers,16,45,Bills,2016,6
Eagles,20,27,Redskins,2016,6
Browns,26,28,Titans,2016,6
Ravens,23,27,Giants,2016,6
Panthers,38,41,Saints,2016,6
Jaguars,17,16,Bears,2016,6
Rams,28,31,Lions,2016,6
Steelers,15,30,Dolphins,2016,6
Bengals,17,35,Patriots,2016,6
Chiefs,26,10,Raiders,2016,6
Falcons,24,26,Seahawks,2016,6
Cowboys,30,16,Packers,2016,6
Colts,23,26,Texans,2016,6
Jets,03,28,Cardinals,2016,6
Bears,10,26,Packers,2016,7
Giants,17,10,Rams,2016,7
Saints,21,27,Chiefs,2016,7
Colts,34,26,Titans,2016,7
Vikings,10,21,Eagles,2016,7
Browns,17,31,Bengals,2016,7
Redskins,17,20,Lions,2016,7
Raiders,33,16,Jaguars,2016,7
Bills,25,28,Dolphins,2016,7
Ravens,16,24,Jets,2016,7
Buccaneers,34,17,49ers,2016,7
Chargers,33,30,Falcons,2016,7
Patriots,27,16,Steelers,2016,7
Seahawks,06,06,Cardinals,2016,7
Texans,09,27,Broncos,2016,7
Jaguars,22,36,Titans,2016,8
Redskins,27,27,Bengals,2016,8
Chiefs,30,14,Colts,2016,8
Cardinals,20,30,Panthers,2016,8
Raiders,30,24,Buccaneers,2016,8
Seahawks,20,25,Saints,2016,8
Lions,13,20,Texans,2016,8
Patriots,41,25,Bills,2016,8
Jets,31,28,Browns,2016,8
Chargers,19,27,Broncos,2016,8
Packers,32,33,Falcons,2016,8
Eagles,23,29,Cowboys,2016,8
Vikings,10,20,Bears,2016,8
Falcons,43,28,Buccaneers,2016,9
Lions,22,16,Vikings,2016,9
Eagles,23,28,Giants,2016,9
Jets,23,27,Dolphins,2016,9
Jaguars,14,19,Chiefs,2016,9
Cowboys,35,10,Browns,2016,9
Saints,41,23,49ers,2016,9
Steelers,14,21,Ravens,2016,9
Panthers,13,10,Rams,2016,9
Colts,31,26,Packers,2016,9
Titans,35,43,Chargers,2016,9
Broncos,20,30,Raiders,2016,9
Bills,25,31,Seahawks,2016,9
Browns,07,28,Ravens,2016,10
Texans,24,21,Jaguars,2016,10
Broncos,25,23,Saints,2016,10
Rams,09,06,Jets,2016,10
Falcons,15,24,Eagles,2016,10
Chiefs,20,17,Panthers,2016,10
Bears,10,36,Buccaneers,2016,10
Vikings,20,26,Redskins,2016,10
Packers,25,47,Titans,2016,10
Dolphins,31,24,Chargers,2016,10
49ers,20,23,Cardinals,2016,10
Cowboys,35,30,Steelers,2016,10
Seahawks,31,24,Patriots,2016,10
Bengals,20,21,Giants,2016,10
Saints,20,23,Panthers,2016,11
Steelers,24,09,Browns,2016,11
Ravens,17,27,Cowboys,2016,11
Jaguars,19,26,Lions,2016,11
Titans,17,24,Colts,2016,11
Bills,16,12,Bengals,2016,11
Buccaneers,19,17,Chiefs,2016,11
Bears,16,22,Giants,2016,11
Cardinals,24,30,Vikings,2016,11
Dolphins,14,10,Rams,2016,11
Patriots,30,17,49ers,2016,11
Eagles,15,26,Seahawks,2016,11
Packers,24,42,Redskins,2016,11
Texans,20,27,Raiders,2016,11
Vikings,13,16,Lions,2016,12
Redskins,26,31,Cowboys,2016,12
Steelers,28,07,Colts,2016,12
Titans,27,21,Bears,2016,12
Jaguars,21,28,Bills,2016,12
Bengals,14,19,Ravens,2016,12
Cardinals,19,38,Falcons,2016,12
Giants,27,13,Browns,2016,12
Rams,21,49,Saints,2016,12
49ers,24,31,Dolphins,2016,12
Chargers,21,13,Texans,2016,12
Seahawks,05,14,Buccaneers,2016,12
Patriots,22,17,Jets,2016,12
Panthers,32,35,Raiders,2016,12
Chiefs,30,27,Broncos,2016,12
Packers,27,13,Eagles,2016,12
Cowboys,17,15,Vikings,2016,13
Chiefs,29,28,Falcons,2016,13
Lions,28,13,Saints,2016,13
Rams,10,26,Patriots,2016,13
Broncos,20,10,Jaguars,2016,13
Eagles,14,32,Bengals,2016,13
Texans,13,21,Packers,2016,13
Dolphins,06,38,Ravens,2016,13
49ers,06,26,Bears,2016,13
Bills,24,38,Raiders,2016,13
Giants,14,24,Steelers,2016,13
Redskins,23,31,Cardinals,2016,13
Buccaneers,28,21,Chargers,2016,13
Panthers,07,40,Seahawks,2016,13
Colts,41,10,Jets,2016,13
Raiders,13,21,Chiefs,2016,14
Steelers,27,20,Bills,2016,14
Broncos,10,13,Titans,2016,14
Redskins,27,22,Eagles,2016,14
Cardinals,23,26,Dolphins,2016,14
Vikings,25,16,Jaguars,2016,14
Texans,22,17,Colts,2016,14
Chargers,16,28,Panthers,2016,14
Bengals,23,10,Browns,2016,14
Bears,17,20,Lions,2016,14
Jets,23,17,49ers,2016,14
Saints,11,16,Buccaneers,2016,14
Falcons,42,14,Rams,2016,14
Seahawks,10,38,Packers,2016,14
Cowboys,07,10,Giants,2016,14
Ravens,23,30,Patriots,2016,14
Rams,03,24,Seahawks,2016,15
Dolphins,34,13,Jets,2016,15
Packers,30,27,Bears,2016,15
Browns,13,33,Bills,2016,15
Eagles,26,27,Ravens,2016,15
Titans,19,17,Chiefs,2016,15
Steelers,24,20,Bengals,2016,15
Lions,06,17,Giants,2016,15
Colts,34,06,Vikings,2016,15
Jaguars,20,21,Texans,2016,15
Saints,48,41,Cardinals,2016,15
49ers,13,41,Falcons,2016,15
Raiders,19,16,Chargers,2016,15
Patriots,16,03,Broncos,2016,15
Buccaneers,20,26,Cowboys,2016,15
Panthers,26,15,Redskins,2016,15
Giants,19,24,Eagles,2016,16
Dolphins,34,31,Bills,2016,16
Jets,03,41,Patriots,2016,16
Titans,17,38,Jaguars,2016,16
Vikings,25,38,Packers,2016,16
Chargers,17,20,Browns,2016,16
Redskins,41,21,Bears,2016,16
Falcons,33,16,Panthers,2016,16
Colts,25,33,Raiders,2016,16
